标签,名称,方言,国籍,开发建设时间,当地特产,地址,森林覆盖率,文物原属,野生动物,奉化名人,经纪公司,交通,平均海拔,拓片现藏,主要设施,名人,职业,代表作品,海拔高度,特点,票价,娱乐设施,主峰,深度,公司性质,成立时间,所属区域,邮政区码,机场,主要游览内容,气候条件,动物种类,人口,制片地区,体制,周边景点,建造人物,服务,产地,毕业院校,拼音,公司名称,蓄水量,主要成就,信仰,大自然奇迹,规模,市树市花市鸟,政府驻地,海岸线,收藏,总部地点,园林名录,植物展览区,其它译名,开放时间,最早森林公园,作者,分布区域,下辖地区,建筑面积,保护级别,高,旅游级别,等级,文物收藏,馆藏精品,现名,所属地区,酒店住宿,道教圣地,主演,现藏,藏品数量,主要景点,所在地区,建造时间,占地面积,经纬度,国外播放,经营理念,车牌代码,景区面积,藏品,瀑布类型,编剧,级别,植被覆盖率,荣誉,中文名称,面积,蒙古语,水位,名楼四,人文景观,誉称,海拔,景区等级,别名,植物种类,邮政编码,地点,出生地,实际高度,园林性质,正式开放时间,最高峰,作品出处,世界遗产,藏语 ,拍摄地点,著名景点,距北京市,名誉,景观区域,形成地点,竣工时间,属性,导演,岛屿,地理位置,上映时间,火车站,申报单位,平均水深,集数,民族,主要产品,西班牙语,区长,行政区划代码,规划面积,景区四绝,景区位置,景区组成,出家地,特产,名人故居,展示植物,友好城市,售票时间,名楼二,奠基时间,民间建筑代表,外文名称,名胜古迹,总面积,风景区级别,申报地区,保存,莲花瓣,已探深度,起始时间,出品时间,佛体,类别,终点,名楼一,国内播放,馆藏,门票价格,全长,员工数,电话区号,行政区类别,景区特产,休馆时间,最高海拔
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,西柏坡, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , ,6400, , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,河北省石家庄市平山县, , , , , , , , , , , , , , , , , , , , ,西柏坡,37845亩, , , , , , , , , ,, , , , , , , , , , ,西柏坡纪念馆等, , , , , , , , ,河北省石家庄市平山县,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,,乡镇, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,十渡, , ,, , ,, , , , , , , , , , , ,, , , , , , , ,中国北京,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , ,国家AAA景区, , , , , , , , , , , , , , , , , , , , , , , , , ,十渡,301平方千米, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,红螺寺, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , ,中国大陆, , , , , , , , ,, , , , , , ,, , , , ,红螺寺, , , , , , , , , , , , , , , , ,李丁，周绍栋，阮巡, , , , , , , , , , , , , , , , , ,红螺寺传奇, , , , , , , , , , ,, , , , , , , , , , , , , , , , , ,郑泉宝, , ,1999/1/1, , , ,20集, , , , ,, , , , , , , , , , , , , , , , , , , , , , ,1999/1/1, ,剧情, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,北海公园, , ,, ,北京市中心区,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,北海公园, , , , , , , ,国家AAAA级, , ,, , , , , , , , , , ,琼华岛，永安寺，北海白塔等, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Beihai Park, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,乌镇,吴语（太湖片）, ,, , ,, , , , , , , , , , , ,, , , , , , , , ,314501, , ,亚热带季风气候, ,5, , , , , , , , , ,, , , , , ,乌镇镇凤仙路18号,, , , , , ,1991年, , , , , , , , , , , , ,中国华东，浙江省北部, , , , , , , , , ,"东经120°54′,北纬30°64′", , ,浙F, , , , , , , ,乌镇,71, , , , , , , ,乌墩、青墩, ,, , , , , , , , , , ,西栅，江浙分府，江南民俗馆，茅盾故居，古戏台，江南百床馆等, , , , , , , , ,江南水乡，太湖南岸,, , , , , , , , ,, , , , , ,蓝印花布，姑嫂饼，臭豆干、蚕茧, , , , , , , ,Wu zhen ancient town, , , , , , , , ,, ,古镇村落, , , , , , , ,573,镇, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,鹿鼎记, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , ,华山, , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,神雕侠侣, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , ,华山, , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,任丘, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , ,白洋淀, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,清明上河园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,中国河南, , , , , ,拂云阁、宣德、宣和殿, , , , , , , , , , , , , , ,清明上河园,510亩, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,河南省开封城西北隅,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,丽江古城, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,674100,丽江机场, , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,丽江古城, , , , , , , , ,大研古城, ,, , , , , , , , , , ,古城大水车，万古楼, , , , , , , , ,云南省,,丽江火车站, , , , , , , ,, , , , , , , , , , , , , ,The Old Town of Lijiang, , , , , , , , ,, , , , , , , , , ,888, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,北海, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,北海公园, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,东方明珠广播电视塔, , ,, , ,, , , , , , , , ,设计师江欢成, , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , ,上海黄浦江畔、陆家嘴金融贸易区, , , , , , , , ,中国上海, , , , , , , , , , , , , , , , , , , , ,东方明珠广播电视塔,1500平方米, , , , , , , , , ,, , , , , , , , , , ,旋转餐厅、电视塔入口、东方明珠游船码头东方明珠科幻城, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,The Oriental Pearl TV Tower Of Shanghai, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,欢乐谷, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,北京欢乐谷, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,嘉峪关,酒泉话、东北方言, ,, , ,, , , , , , , , , , , ,, , , , , , , , ,735100,嘉峪关机场, ,温带大陆性荒漠气候, ,23万（2010年）, , , , , , , , , ,, , , , , , ,, , , , , , , , , ,峪泉镇、文殊镇、新城镇, , , , , , , , ,中国西北, , , , , , , ,明洪武五年（公元1372年）, , , , ,甘B, , , , , , , ,嘉峪关市,2935平方千米, , , , , , , ,天下第一雄关, ,, , , , , , , , , , ,嘉峪关、七一冰川、西部明珠气象塔等, , , , , , , , ,甘肃西北，河西走廊中部,,嘉峪关站, , , , , , , ,620200, , , , , , , , , , , , , ,Jiayuguan City, , , , , , , , ,, , , , , , , , , ,937,地级市, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,皇城相府, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , ,半干旱大陆性季风气候, , , , , , , , , , , ,, , , , , , ,, , , , , ,2011年2月22日, , , , , , , , , , , , ,中国西北, , , , , , , , , , , , , , , , , ,国家AAAAA级景区, , ,皇城相府,3, , , , , , , ,午亭山村, ,, , , , , , , , , , ,斗筑居，中道庄, , , , , , , , ,晋城市北留镇境内,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,,山西省东南部, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,苏州园林, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , ,沧浪亭、狮子林、拙政园、留园等, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,世界文化遗产，中国十大名胜之一,苏州园林, , , , , , , ,国家5A级旅游景区, , ,, , , ,以私家园林为主, , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Suzhou Gardens, , , , , , , ,春秋时期吴国（公元前514年）,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,上海科技馆, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , ,9:00～17:00, , , , ,9, , , , , , , , , , , , , , , , , , , , , , ,约25万件, , , , , ,上海科技馆, , , , , , , , , , ,,上海市浦东新区世纪大道2000号, , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , ,9:00～15:30, , , , , , , , , , , , ,, ,科普教育和休闲旅游, , , , , , , ,, , ,周一（国定假日除外）, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,武夷山, , ,, , ,, , , , , , , , , , , ,, , , ,黄岗山海拔2158米，是东南最高峰, , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,福建西北部、江西东部, , , , , , , , , , , , , , , , , , , , ,武夷山, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Mount Wuyi, ,999, , , , , , ,, ,世界自然与文化遗产, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,刘公岛, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,刘公岛,3, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,威海,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,云台山, , ,, , ,, , , , , , , , , , , ,, , , ,团仑岩, , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,施秉云台山, , , , , , ,1066米,3A级, , ,, , , , , , , , , , , , , , , , , , , ,贵州省施秉县城关镇、白垛乡,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,蓬莱阁, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , ,全国重点文物保护单位, , , , , , ,中国山东烟台蓬莱市, , , , , , , ,1061年, , , , , , , , , , , , ,蓬莱阁,32800平方米, , , , , , , ,人间仙境, ,, , , , , , , , , , , , , , , , , , , ,蓬莱市区西北的丹崖山上,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,三清山, , ,, , ,, , , , , , , , , , , ,1819, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , ,国家AAAAA级, , , , , , , , , ,司春女神、巨蟒出山、观音听琵琶, , , , , , , , , , , , , ,2008年列入《世界自然遗产》名录,三清山国家公园, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,江西省玉山县与德兴市交界处,, , , , , , , , ,, , , , , , , , , , , , , ,Mount Sanqingshan National Park, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,普陀山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,浙江省, , , , , , , , , , , , , , , , , , , , ,普陀山,13平方公里, , , , , , ,国家5A级旅游风景区, , ,, , , , , , , , , , , , , , , , , , , ,舟山群岛,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,雁栖湖, , ,, ,北京郊区怀柔城北的燕山脚下,, , , , , , , , , , , ,, , , , , , , , ,, , ,年平均气温11, , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,国家AAAA级风景区,植被覆盖率90%, ,雁栖湖, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,八大处公园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , ,国家AAAA级旅游区, , , , ,北京市西郊西山风景区南麓, , , , , ,灵光寺、长安寺等八座古刹, ,隋末唐初, , , , , , , , , , , , ,八大处公园, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,司马台长城, , ,, , ,, , , , , , , , , , , ,,险、密、奇、巧、全, , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,司马台长城, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,古北口镇司马台村北,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , ,5, ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,北京动物园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , ,450余种，海洋馆500余种, , ,事业, , , , , , , ,, , , ,中国第一大动物园, , ,, , , , , , , , , , , , , , , , ,大量难得一见的国内外珍稀动物, , , , , , , , , , ,86公顷, , , , , , , , , , , ,北京动物园, , , , , , , , , , ,,北京市西城区西直门外大街137号, , , , , , , , , , , , , , ,1906年, , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Beijing Zoo, , , , , , , , ,, ,动物园, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,北京植物园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , ,观赏植物区、树木园和温室区, ,夏：6:00 -- 20:00 冬：7:30 -- 17:00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,AAAA 级旅游景区, , ,北京植物园,400公顷, , , , , , , , , ,,北京市海淀区, , , , , , , , , , , , , , ,1956年, , , , ,, , , , , , , , ,, , , , , , , ,10000余种（含品种）150余万株, , , , , ,Beijing Botanical Garden,卧佛寺、樱桃沟、曹雪芹纪念馆等, , , , , , , ,, ,自然展览馆, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,涞水县, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , ,野三坡, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,明城墙遗址公园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,明永乐17年,3, , , , , , , , , , , ,明城墙遗址公园, , , , , , , , , , ,, , , , , , , , , , , , ,全国重点文物保护单位, , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , ,40公里, ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,鼓浪屿, , ,, ,福建省厦门岛西南隅,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , ,全天开放, , , , , , , , , , , , , , , , , , ,日光岩、菽庄花园、皓月园等, , , , , , , , , , , , , , ,鼓浪屿, , , , , , , ,AAAAA, , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Kulangsu, , , , , , , , ,, , , , , , ,免费, , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,浮丘山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,南山, ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
